Player,Nationality,Club,Season,Round,Opponent,Minute,Goal_Type,Venue,Goals_In_Match
Didier Drogba,Ivory Coast,Chelsea,2015-16,Round Of 16,Manchester City,91,Header,Home,1
Fernando Torres,Spain,Liverpool,2021-22,Final,Napoli,95,Free Kick,Home,2
Alessandro Del Piero,Italy,Juventus,2010-11,Quarter-Final,Napoli,8,Penalty,Home,3
Lionel Messi,Argentina,Paris Saint-Germain,2019-20,Semi-Final,Barcelona,22,Header,Away,1
Vinicius Junior,Brazil,Real Madrid,2018-19,Group Stage,Paris Saint-Germain,74,Header,Home,1
Harry Kane,England,Bayern Munich,2023-24,Round Of 16,Inter Milan,80,Header,Away,2
Lionel Messi,Argentina,Paris Saint-Germain,2015-16,Quarter-Final,Inter Milan,7,Penalty,Away,1
Luis Suarez,Uruguay,Barcelona,2013-14,Round Of 16,Porto,47,Right Foot,Home,2
Cristiano Ronaldo,Portugal,Real Madrid,2020-21,Group Stage,Napoli,59,Right Foot,Home,3
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2016-17,Round Of 16,Napoli,39,Header,Away,1
Zlatan Ibrahimovic,Sweden,Ac Milan,2011-12,Group Stage,Benfica,37,Penalty,Away,1
Robert Lewandowski,Poland,Bayern Munich,2022-23,Round Of 16,Manchester City,5,Right Foot,Away,1
Erling Haaland,Norway,Borussia Dortmund,2012-13,Group Stage,Manchester City,11,Header,Home,1
Sadio Mane,Senegal,Liverpool,2010-11,Semi-Final,Ac Milan,42,Penalty,Away,3
Kevin De Bruyne,Belgium,Manchester City,2020-21,Group Stage,Tottenham Hotspur,91,Header,Away,1
Raul Gonzalez,Spain,Real Madrid,2017-18,Round Of 16,Benfica,54,Header,Away,3
Filippo Inzaghi,Italy,Ac Milan,2016-17,Round Of 16,Napoli,69,Header,Home,3
Toni Kroos,Germany,Real Madrid,2020-21,Group Stage,Paris Saint-Germain,37,Header,Home,2
Sergio Aguero,Argentina,Manchester City,2015-16,Group Stage,Sevilla,47,Free Kick,Away,1
Erling Haaland,Norway,Borussia Dortmund,2023-24,Round Of 16,Atletico Madrid,25,Right Foot,Away,1
Neymar Jr,Brazil,Barcelona,2019-20,Final,Atletico Madrid,41,Left Foot,Away,1
Bernardo Silva,Portugal,Manchester City,2019-20,Round Of 16,Real Madrid,35,Right Foot,Home,3
Wayne Rooney,England,Manchester United,2023-24,Quarter-Final,Ac Milan,42,Left Foot,Away,3
Ruud Van Nistelrooy,Netherlands,Manchester United,2020-21,Group Stage,Arsenal,85,Left Foot,Home,1
Luis Suarez,Uruguay,Barcelona,2015-16,Quarter-Final,Tottenham Hotspur,3,Right Foot,Home,2
Mohamed Salah,Egypt,Liverpool,2016-17,Group Stage,Real Madrid,7,Header,Away,1
Riyad Mahrez,Algeria,Manchester City,2023-24,Quarter-Final,Borussia Dortmund,76,Right Foot,Away,3
Andriy Shevchenko,Ukraine,Chelsea,2019-20,Round Of 16,Liverpool,1,Header,Home,1
Ruud Van Nistelrooy,Netherlands,Real Madrid,2017-18,Group Stage,Barcelona,34,Penalty,Away,1
Kylian Mbappe,France,Real Madrid,2019-20,Final,Porto,93,Right Foot,Home,1
Neymar Jr,Brazil,Paris Saint-Germain,2019-20,Semi-Final,Bayern Munich,43,Penalty,Home,1
Neymar Jr,Brazil,Barcelona,2019-20,Group Stage,Real Madrid,65,Right Foot,Home,1
Gareth Bale,Wales,Real Madrid,2017-18,Round Of 16,Manchester United,41,Free Kick,Home,3
Robert Lewandowski,Poland,Bayern Munich,2017-18,Semi-Final,Inter Milan,74,Penalty,Away,2
Wayne Rooney,England,Manchester United,2015-16,Semi-Final,Liverpool,86,Left Foot,Home,1
Lionel Messi,Argentina,Barcelona,2020-21,Round Of 16,Inter Milan,48,Right Foot,Away,2
Karim Benzema,France,Real Madrid,2020-21,Semi-Final,Inter Milan,11,Header,Home,1
Bukayo Saka,England,Arsenal,2019-20,Quarter-Final,Tottenham Hotspur,70,Right Foot,Home,1
Victor Osimhen,Nigeria,Napoli,2021-22,Round Of 16,Bayern Munich,48,Free Kick,Away,1
Gareth Bale,Wales,Real Madrid,2019-20,Round Of 16,Chelsea,82,Header,Away,1
Riyad Mahrez,Algeria,Manchester City,2012-13,Quarter-Final,Bayern Munich,16,Right Foot,Home,1
Luis Suarez,Uruguay,Atletico Madrid,2012-13,Round Of 16,Napoli,15,Header,Away,1
Luis Suarez,Uruguay,Atletico Madrid,2018-19,Round Of 16,Ac Milan,94,Right Foot,Home,2
Paulo Dybala,Argentina,Juventus,2017-18,Group Stage,Napoli,66,Free Kick,Home,3
Alfredo Di Stefano,Argentina,Real Madrid,2021-22,Quarter-Final,Sevilla,56,Header,Away,1
Memphis Depay,Netherlands,Barcelona,2017-18,Group Stage,Manchester City,93,Penalty,Away,1
Memphis Depay,Netherlands,Barcelona,2017-18,Round Of 16,Ajax,52,Right Foot,Home,1
Ruud Van Nistelrooy,Netherlands,Manchester United,2015-16,Round Of 16,Inter Milan,11,Header,Away,1
Zlatan Ibrahimovic,Sweden,Barcelona,2013-14,Final,Sevilla,12,Free Kick,Home,1
Alessandro Del Piero,Italy,Juventus,2013-14,Group Stage,Inter Milan,73,Right Foot,Away,1
Harry Kane,England,Bayern Munich,2011-12,Round Of 16,Real Madrid,95,Penalty,Away,1
Kylian Mbappe,France,Real Madrid,2018-19,Round Of 16,Napoli,75,Penalty,Away,1
Robert Lewandowski,Poland,Bayern Munich,2015-16,Group Stage,Liverpool,64,Free Kick,Away,3
Cristiano Ronaldo,Portugal,Manchester United,2020-21,Group Stage,Ac Milan,28,Free Kick,Away,2
Wayne Rooney,England,Manchester United,2021-22,Quarter-Final,Inter Milan,92,Free Kick,Home,1
Zlatan Ibrahimovic,Sweden,Inter Milan,2020-21,Semi-Final,Arsenal,47,Right Foot,Home,1
Neymar Jr,Brazil,Paris Saint-Germain,2014-15,Round Of 16,Napoli,22,Header,Away,1
Alessandro Del Piero,Italy,Juventus,2017-18,Quarter-Final,Napoli,4,Penalty,Home,1
Erling Haaland,Norway,Borussia Dortmund,2021-22,Quarter-Final,Ajax,19,Header,Away,1
Robert Lewandowski,Poland,Bayern Munich,2018-19,Group Stage,Real Madrid,1,Header,Away,1
Riyad Mahrez,Algeria,Manchester City,2018-19,Semi-Final,Benfica,81,Left Foot,Home,1
Cristiano Ronaldo,Portugal,Manchester United,2017-18,Round Of 16,Liverpool,64,Penalty,Away,1
Riyad Mahrez,Algeria,Manchester City,2014-15,Round Of 16,Porto,76,Header,Away,2
Didier Drogba,Ivory Coast,Chelsea,2014-15,Round Of 16,Inter Milan,50,Free Kick,Home,2
Harry Kane,England,Tottenham Hotspur,2010-11,Group Stage,Bayern Munich,66,Free Kick,Away,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2013-14,Quarter-Final,Ac Milan,27,Penalty,Home,1
Ruud Van Nistelrooy,Netherlands,Manchester United,2012-13,Quarter-Final,Napoli,44,Header,Home,1
Jude Bellingham,England,Real Madrid,2021-22,Quarter-Final,Atletico Madrid,48,Right Foot,Home,3
Raul Gonzalez,Spain,Real Madrid,2010-11,Quarter-Final,Tottenham Hotspur,48,Header,Home,1
Ousmane Dembele,France,Paris Saint-Germain,2017-18,Quarter-Final,Ajax,45,Header,Home,1
Fernando Torres,Spain,Chelsea,2017-18,Round Of 16,Porto,87,Penalty,Home,3
Luka Modric,Croatia,Real Madrid,2020-21,Group Stage,Manchester United,80,Right Foot,Away,2
Alessandro Del Piero,Italy,Juventus,2016-17,Round Of 16,Napoli,61,Penalty,Away,1
Kylian Mbappe,France,Paris Saint-Germain,2021-22,Group Stage,Ajax,6,Right Foot,Away,1
Luis Suarez,Uruguay,Atletico Madrid,2011-12,Quarter-Final,Juventus,72,Penalty,Away,1
Zlatan Ibrahimovic,Sweden,Barcelona,2018-19,Quarter-Final,Ajax,63,Header,Away,3
Didier Drogba,Ivory Coast,Chelsea,2012-13,Round Of 16,Ac Milan,65,Penalty,Away,2
Raul Gonzalez,Spain,Real Madrid,2014-15,Group Stage,Atletico Madrid,48,Header,Away,1
Lionel Messi,Argentina,Barcelona,2017-18,Group Stage,Inter Milan,40,Penalty,Home,2
Andriy Shevchenko,Ukraine,Ac Milan,2010-11,Quarter-Final,Napoli,96,Penalty,Home,1
Erling Haaland,Norway,Manchester City,2011-12,Semi-Final,Liverpool,5,Header,Away,1
Luka Modric,Croatia,Real Madrid,2011-12,Group Stage,Inter Milan,79,Penalty,Away,1
Robert Lewandowski,Poland,Bayern Munich,2016-17,Final,Tottenham Hotspur,94,Header,Home,1
Zlatan Ibrahimovic,Sweden,Barcelona,2011-12,Group Stage,Tottenham Hotspur,93,Right Foot,Away,1
Riyad Mahrez,Algeria,Manchester City,2021-22,Round Of 16,Paris Saint-Germain,49,Header,Away,3
Luis Suarez,Uruguay,Barcelona,2014-15,Round Of 16,Porto,59,Free Kick,Home,1
Zlatan Ibrahimovic,Sweden,Ac Milan,2021-22,Semi-Final,Juventus,61,Right Foot,Away,2
Kevin De Bruyne,Belgium,Manchester City,2013-14,Final,Manchester United,33,Right Foot,Away,2
Wayne Rooney,England,Manchester United,2023-24,Round Of 16,Tottenham Hotspur,30,Header,Home,3
Alessandro Del Piero,Italy,Juventus,2023-24,Group Stage,Napoli,40,Header,Away,1
Bernardo Silva,Portugal,Manchester City,2022-23,Group Stage,Porto,55,Header,Away,2
Luis Suarez,Uruguay,Barcelona,2022-23,Group Stage,Porto,69,Header,Away,1
Bukayo Saka,England,Arsenal,2015-16,Group Stage,Manchester United,46,Header,Home,1
Toni Kroos,Germany,Real Madrid,2017-18,Round Of 16,Manchester City,75,Left Foot,Home,2
Memphis Depay,Netherlands,Barcelona,2017-18,Group Stage,Benfica,60,Penalty,Home,1
Gareth Bale,Wales,Real Madrid,2013-14,Quarter-Final,Atletico Madrid,87,Left Foot,Away,2
Alfredo Di Stefano,Argentina,Real Madrid,2010-11,Round Of 16,Benfica,42,Penalty,Home,2
Alfredo Di Stefano,Argentina,Real Madrid,2017-18,Quarter-Final,Chelsea,71,Penalty,Away,3
Toni Kroos,Germany,Real Madrid,2017-18,Semi-Final,Bayern Munich,35,Penalty,Away,1
Jude Bellingham,England,Real Madrid,2014-15,Group Stage,Chelsea,68,Left Foot,Home,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2016-17,Group Stage,Bayern Munich,83,Header,Away,1
Toni Kroos,Germany,Real Madrid,2013-14,Group Stage,Benfica,49,Header,Home,3
Erling Haaland,Norway,Borussia Dortmund,2015-16,Group Stage,Inter Milan,52,Free Kick,Away,1
Luis Suarez,Uruguay,Atletico Madrid,2019-20,Round Of 16,Porto,82,Penalty,Home,1
Neymar Jr,Brazil,Barcelona,2012-13,Group Stage,Juventus,78,Left Foot,Away,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2021-22,Quarter-Final,Arsenal,40,Right Foot,Home,1
Antoine Griezmann,France,Atletico Madrid,2012-13,Semi-Final,Napoli,8,Free Kick,Away,1
Neymar Jr,Brazil,Paris Saint-Germain,2018-19,Quarter-Final,Atletico Madrid,74,Header,Away,1
Zlatan Ibrahimovic,Sweden,Ac Milan,2016-17,Group Stage,Paris Saint-Germain,10,Left Foot,Away,1
Lionel Messi,Argentina,Paris Saint-Germain,2021-22,Final,Real Madrid,62,Penalty,Away,3
Joshua Kimmich,Germany,Bayern Munich,2022-23,Final,Porto,94,Penalty,Home,2
Toni Kroos,Germany,Real Madrid,2020-21,Round Of 16,Barcelona,2,Header,Home,2
Antoine Griezmann,France,Atletico Madrid,2021-22,Round Of 16,Liverpool,83,Free Kick,Away,1
Bernardo Silva,Portugal,Manchester City,2020-21,Round Of 16,Bayern Munich,68,Right Foot,Away,1
Didier Drogba,Ivory Coast,Chelsea,2010-11,Group Stage,Porto,69,Right Foot,Home,2
Memphis Depay,Netherlands,Barcelona,2010-11,Quarter-Final,Liverpool,65,Header,Away,1
Toni Kroos,Germany,Real Madrid,2019-20,Group Stage,Inter Milan,72,Header,Away,2
Luis Suarez,Uruguay,Barcelona,2012-13,Final,Inter Milan,23,Left Foot,Home,1
Paulo Dybala,Argentina,Juventus,2014-15,Group Stage,Napoli,86,Right Foot,Away,1
Jude Bellingham,England,Real Madrid,2021-22,Semi-Final,Paris Saint-Germain,51,Penalty,Home,3
Bukayo Saka,England,Arsenal,2018-19,Quarter-Final,Liverpool,1,Header,Away,1
Riyad Mahrez,Algeria,Manchester City,2015-16,Group Stage,Sevilla,59,Right Foot,Home,2
Wayne Rooney,England,Manchester United,2014-15,Round Of 16,Inter Milan,39,Right Foot,Away,1
Mohamed Salah,Egypt,Liverpool,2017-18,Group Stage,Sevilla,48,Penalty,Home,1
Andriy Shevchenko,Ukraine,Ac Milan,2010-11,Round Of 16,Barcelona,94,Left Foot,Home,1
Ousmane Dembele,France,Paris Saint-Germain,2016-17,Final,Tottenham Hotspur,58,Left Foot,Away,2
Toni Kroos,Germany,Real Madrid,2020-21,Round Of 16,Sevilla,1,Left Foot,Away,1
Bukayo Saka,England,Arsenal,2022-23,Final,Tottenham Hotspur,44,Free Kick,Away,1
Cristiano Ronaldo,Portugal,Real Madrid,2016-17,Final,Liverpool,4,Right Foot,Home,1
Raul Gonzalez,Spain,Real Madrid,2021-22,Round Of 16,Benfica,53,Right Foot,Home,1
Memphis Depay,Netherlands,Barcelona,2022-23,Group Stage,Sevilla,58,Header,Home,1
Raul Gonzalez,Spain,Real Madrid,2023-24,Round Of 16,Paris Saint-Germain,65,Right Foot,Away,3
Sergio Aguero,Argentina,Manchester City,2015-16,Group Stage,Inter Milan,63,Left Foot,Away,1
Sadio Mane,Senegal,Liverpool,2022-23,Round Of 16,Atletico Madrid,21,Penalty,Away,1
Jude Bellingham,England,Real Madrid,2016-17,Quarter-Final,Liverpool,55,Free Kick,Home,3
Alfredo Di Stefano,Argentina,Real Madrid,2019-20,Group Stage,Inter Milan,29,Free Kick,Home,2
Fernando Torres,Spain,Chelsea,2022-23,Group Stage,Porto,36,Left Foot,Away,2
Luka Modric,Croatia,Real Madrid,2012-13,Final,Chelsea,75,Penalty,Away,1
Victor Osimhen,Nigeria,Napoli,2019-20,Group Stage,Bayern Munich,38,Right Foot,Away,1
Wayne Rooney,England,Manchester United,2014-15,Quarter-Final,Chelsea,41,Penalty,Away,1
Bukayo Saka,England,Arsenal,2012-13,Round Of 16,Liverpool,76,Right Foot,Home,3
Karim Benzema,France,Real Madrid,2019-20,Group Stage,Bayern Munich,93,Penalty,Away,1
Zlatan Ibrahimovic,Sweden,Ac Milan,2015-16,Group Stage,Real Madrid,28,Penalty,Home,3
Mohamed Salah,Egypt,Liverpool,2015-16,Semi-Final,Manchester United,42,Free Kick,Away,2
Vinicius Junior,Brazil,Real Madrid,2021-22,Group Stage,Manchester United,26,Header,Away,2
Riyad Mahrez,Algeria,Manchester City,2016-17,Group Stage,Ajax,6,Header,Away,1
Antoine Griezmann,France,Atletico Madrid,2018-19,Final,Napoli,83,Free Kick,Home,1
Ousmane Dembele,France,Barcelona,2022-23,Group Stage,Juventus,53,Penalty,Away,1
Raul Gonzalez,Spain,Real Madrid,2011-12,Semi-Final,Porto,39,Free Kick,Away,1
Mohamed Salah,Egypt,Liverpool,2018-19,Final,Sevilla,18,Left Foot,Home,1
Ousmane Dembele,France,Paris Saint-Germain,2010-11,Semi-Final,Tottenham Hotspur,16,Header,Away,2
Sadio Mane,Senegal,Bayern Munich,2022-23,Semi-Final,Borussia Dortmund,47,Free Kick,Home,1
Julian Alvarez,Argentina,Manchester City,2016-17,Round Of 16,Chelsea,20,Penalty,Home,1
Victor Osimhen,Nigeria,Napoli,2020-21,Round Of 16,Atletico Madrid,81,Penalty,Away,1
Karim Benzema,France,Real Madrid,2022-23,Semi-Final,Paris Saint-Germain,78,Penalty,Home,1
Didier Drogba,Ivory Coast,Chelsea,2022-23,Group Stage,Tottenham Hotspur,90,Right Foot,Home,1
Kylian Mbappe,France,Paris Saint-Germain,2015-16,Quarter-Final,Liverpool,57,Free Kick,Home,1
Ousmane Dembele,France,Barcelona,2021-22,Group Stage,Atletico Madrid,78,Left Foot,Away,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2015-16,Group Stage,Inter Milan,31,Penalty,Home,1
Bernardo Silva,Portugal,Manchester City,2021-22,Quarter-Final,Bayern Munich,82,Header,Home,2
Thomas Muller,Germany,Bayern Munich,2013-14,Quarter-Final,Liverpool,35,Right Foot,Away,3
Memphis Depay,Netherlands,Barcelona,2018-19,Round Of 16,Real Madrid,17,Free Kick,Away,1
Antoine Griezmann,France,Atletico Madrid,2019-20,Round Of 16,Liverpool,19,Right Foot,Away,3
Julian Alvarez,Argentina,Manchester City,2017-18,Group Stage,Paris Saint-Germain,56,Penalty,Home,1
Harry Kane,England,Tottenham Hotspur,2019-20,Final,Arsenal,36,Header,Home,3
Lionel Messi,Argentina,Paris Saint-Germain,2014-15,Quarter-Final,Sevilla,52,Penalty,Home,3
Harry Kane,England,Bayern Munich,2011-12,Semi-Final,Tottenham Hotspur,95,Penalty,Away,2
Erling Haaland,Norway,Manchester City,2018-19,Group Stage,Borussia Dortmund,73,Penalty,Away,1
Joshua Kimmich,Germany,Bayern Munich,2015-16,Round Of 16,Tottenham Hotspur,26,Header,Home,1
Neymar Jr,Brazil,Barcelona,2022-23,Semi-Final,Bayern Munich,16,Penalty,Away,2
Wayne Rooney,England,Manchester United,2015-16,Round Of 16,Borussia Dortmund,15,Penalty,Away,1
Riyad Mahrez,Algeria,Manchester City,2013-14,Final,Arsenal,53,Right Foot,Away,1
Victor Osimhen,Nigeria,Napoli,2014-15,Group Stage,Juventus,61,Free Kick,Home,3
Wayne Rooney,England,Manchester United,2014-15,Final,Ac Milan,20,Right Foot,Away,1
Karim Benzema,France,Real Madrid,2015-16,Round Of 16,Liverpool,44,Penalty,Away,1
Kevin De Bruyne,Belgium,Manchester City,2017-18,Semi-Final,Chelsea,81,Right Foot,Home,1
Gareth Bale,Wales,Real Madrid,2010-11,Group Stage,Juventus,68,Header,Home,2
Kylian Mbappe,France,Paris Saint-Germain,2016-17,Final,Benfica,32,Penalty,Away,1
Neymar Jr,Brazil,Barcelona,2013-14,Group Stage,Ajax,42,Header,Home,3
Erling Haaland,Norway,Manchester City,2010-11,Round Of 16,Tottenham Hotspur,36,Right Foot,Home,1
Julian Alvarez,Argentina,Manchester City,2023-24,Round Of 16,Ac Milan,83,Header,Home,1
Ruud Van Nistelrooy,Netherlands,Real Madrid,2022-23,Round Of 16,Ajax,22,Penalty,Away,1
Cristiano Ronaldo,Portugal,Real Madrid,2013-14,Quarter-Final,Sevilla,66,Left Foot,Away,3
Luka Modric,Croatia,Real Madrid,2014-15,Round Of 16,Ac Milan,18,Left Foot,Away,1
Joshua Kimmich,Germany,Bayern Munich,2018-19,Group Stage,Manchester City,83,Penalty,Away,2
Harry Kane,England,Bayern Munich,2021-22,Group Stage,Ac Milan,67,Header,Home,2
Bernardo Silva,Portugal,Manchester City,2018-19,Round Of 16,Borussia Dortmund,22,Left Foot,Away,1
Kylian Mbappe,France,Real Madrid,2011-12,Round Of 16,Ajax,48,Free Kick,Home,1
Luis Suarez,Uruguay,Atletico Madrid,2021-22,Group Stage,Porto,35,Penalty,Home,1
Victor Osimhen,Nigeria,Napoli,2023-24,Round Of 16,Inter Milan,70,Penalty,Home,2
Mohamed Salah,Egypt,Liverpool,2021-22,Group Stage,Inter Milan,89,Penalty,Away,1
Toni Kroos,Germany,Real Madrid,2022-23,Round Of 16,Bayern Munich,41,Free Kick,Away,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2019-20,Quarter-Final,Ajax,23,Free Kick,Home,1
Joshua Kimmich,Germany,Bayern Munich,2023-24,Round Of 16,Ac Milan,50,Right Foot,Away,1
Jude Bellingham,England,Real Madrid,2015-16,Round Of 16,Borussia Dortmund,60,Header,Home,2
Edinson Cavani,Uruguay,Paris Saint-Germain,2013-14,Group Stage,Ac Milan,81,Right Foot,Away,1
Lionel Messi,Argentina,Barcelona,2017-18,Group Stage,Tottenham Hotspur,55,Left Foot,Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2016-17,Semi-Final,Tottenham Hotspur,19,Right Foot,Away,1
Raul Gonzalez,Spain,Real Madrid,2010-11,Group Stage,Sevilla,89,Header,Home,2
Toni Kroos,Germany,Real Madrid,2015-16,Semi-Final,Barcelona,54,Right Foot,Home,2
Ruud Van Nistelrooy,Netherlands,Real Madrid,2023-24,Semi-Final,Paris Saint-Germain,74,Left Foot,Away,1
Robert Lewandowski,Poland,Borussia Dortmund,2020-21,Group Stage,Bayern Munich,18,Header,Away,1
Didier Drogba,Ivory Coast,Chelsea,2019-20,Semi-Final,Barcelona,30,Free Kick,Home,2
Neymar Jr,Brazil,Paris Saint-Germain,2018-19,Group Stage,Tottenham Hotspur,21,Penalty,Home,3
Toni Kroos,Germany,Real Madrid,2018-19,Final,Sevilla,77,Right Foot,Away,1
Cristiano Ronaldo,Portugal,Real Madrid,2015-16,Group Stage,Manchester United,85,Header,Home,1
Andriy Shevchenko,Ukraine,Ac Milan,2020-21,Final,Sevilla,79,Header,Away,1
Neymar Jr,Brazil,Paris Saint-Germain,2019-20,Group Stage,Barcelona,49,Penalty,Away,2
Raul Gonzalez,Spain,Real Madrid,2020-21,Quarter-Final,Porto,66,Header,Home,2
Neymar Jr,Brazil,Barcelona,2022-23,Final,Sevilla,70,Header,Home,2
Bernardo Silva,Portugal,Manchester City,2011-12,Semi-Final,Ajax,68,Right Foot,Away,1
Filippo Inzaghi,Italy,Ac Milan,2023-24,Group Stage,Atletico Madrid,87,Penalty,Home,2
Memphis Depay,Netherlands,Barcelona,2022-23,Round Of 16,Juventus,88,Free Kick,Home,1
Bernardo Silva,Portugal,Manchester City,2013-14,Round Of 16,Inter Milan,95,Penalty,Away,1
Erling Haaland,Norway,Manchester City,2020-21,Group Stage,Atletico Madrid,48,Free Kick,Home,1
Bernardo Silva,Portugal,Manchester City,2012-13,Group Stage,Benfica,1,Header,Away,1
Toni Kroos,Germany,Real Madrid,2023-24,Group Stage,Ajax,78,Header,Away,2
Memphis Depay,Netherlands,Barcelona,2013-14,Quarter-Final,Inter Milan,49,Free Kick,Away,1
Karim Benzema,France,Real Madrid,2013-14,Group Stage,Manchester City,25,Free Kick,Home,1
Mohamed Salah,Egypt,Liverpool,2020-21,Group Stage,Sevilla,87,Header,Home,1
Kylian Mbappe,France,Real Madrid,2016-17,Round Of 16,Ac Milan,34,Left Foot,Away,2
Fernando Torres,Spain,Chelsea,2013-14,Round Of 16,Barcelona,34,Free Kick,Away,1
Luka Modric,Croatia,Real Madrid,2013-14,Quarter-Final,Inter Milan,4,Right Foot,Home,1
Riyad Mahrez,Algeria,Manchester City,2012-13,Group Stage,Sevilla,79,Penalty,Away,1
Antoine Griezmann,France,Atletico Madrid,2012-13,Round Of 16,Benfica,28,Free Kick,Home,2
Erling Haaland,Norway,Manchester City,2013-14,Round Of 16,Inter Milan,36,Penalty,Away,1
Gareth Bale,Wales,Real Madrid,2020-21,Quarter-Final,Chelsea,94,Header,Home,1
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2016-17,Quarter-Final,Arsenal,48,Header,Away,1
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2019-20,Round Of 16,Atletico Madrid,40,Penalty,Away,1
Jude Bellingham,England,Real Madrid,2012-13,Semi-Final,Bayern Munich,67,Header,Home,2
Sergio Aguero,Argentina,Manchester City,2022-23,Group Stage,Barcelona,27,Right Foot,Away,2
Joshua Kimmich,Germany,Bayern Munich,2010-11,Group Stage,Ac Milan,91,Header,Home,1
Wayne Rooney,England,Manchester United,2011-12,Group Stage,Arsenal,75,Header,Home,3
Joshua Kimmich,Germany,Bayern Munich,2020-21,Quarter-Final,Sevilla,47,Penalty,Away,2
Thomas Muller,Germany,Bayern Munich,2016-17,Round Of 16,Atletico Madrid,57,Header,Away,3
Ruud Van Nistelrooy,Netherlands,Manchester United,2022-23,Round Of 16,Sevilla,19,Header,Home,1
Vinicius Junior,Brazil,Real Madrid,2012-13,Round Of 16,Borussia Dortmund,45,Header,Home,2
Edinson Cavani,Uruguay,Paris Saint-Germain,2011-12,Group Stage,Barcelona,26,Penalty,Home,1
Antoine Griezmann,France,Atletico Madrid,2012-13,Semi-Final,Arsenal,62,Free Kick,Home,1
Kylian Mbappe,France,Paris Saint-Germain,2019-20,Semi-Final,Juventus,75,Left Foot,Home,3
Karim Benzema,France,Real Madrid,2018-19,Group Stage,Bayern Munich,10,Header,Away,1
Gareth Bale,Wales,Real Madrid,2019-20,Round Of 16,Barcelona,85,Right Foot,Away,1
Luis Suarez,Uruguay,Atletico Madrid,2020-21,Quarter-Final,Juventus,65,Left Foot,Away,1
Toni Kroos,Germany,Real Madrid,2012-13,Semi-Final,Sevilla,43,Penalty,Away,3
Kylian Mbappe,France,Paris Saint-Germain,2017-18,Round Of 16,Benfica,20,Penalty,Home,2
Antoine Griezmann,France,Atletico Madrid,2019-20,Semi-Final,Barcelona,76,Penalty,Home,2
Zlatan Ibrahimovic,Sweden,Barcelona,2010-11,Semi-Final,Manchester United,78,Left Foot,Home,1
Thomas Muller,Germany,Bayern Munich,2018-19,Semi-Final,Manchester City,47,Header,Home,2
Vinicius Junior,Brazil,Real Madrid,2017-18,Round Of 16,Porto,46,Left Foot,Home,2
Memphis Depay,Netherlands,Barcelona,2012-13,Round Of 16,Real Madrid,93,Right Foot,Home,1
Robert Lewandowski,Poland,Borussia Dortmund,2011-12,Round Of 16,Ajax,65,Right Foot,Away,1
Ruud Van Nistelrooy,Netherlands,Manchester United,2010-11,Semi-Final,Tottenham Hotspur,68,Free Kick,Away,1
Julian Alvarez,Argentina,Manchester City,2012-13,Round Of 16,Inter Milan,48,Penalty,Home,2
Wayne Rooney,England,Manchester United,2020-21,Final,Juventus,78,Header,Home,2
Bukayo Saka,England,Arsenal,2012-13,Round Of 16,Benfica,36,Free Kick,Away,1
Filippo Inzaghi,Italy,Ac Milan,2017-18,Round Of 16,Real Madrid,88,Right Foot,Away,1
Luka Modric,Croatia,Real Madrid,2023-24,Round Of 16,Barcelona,3,Penalty,Away,3
Joshua Kimmich,Germany,Bayern Munich,2014-15,Round Of 16,Ac Milan,71,Penalty,Away,1
Thomas Muller,Germany,Bayern Munich,2021-22,Final,Manchester United,71,Free Kick,Home,1
Victor Osimhen,Nigeria,Napoli,2022-23,Quarter-Final,Chelsea,18,Header,Home,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2023-24,Round Of 16,Manchester City,7,Header,Home,1
Kylian Mbappe,France,Paris Saint-Germain,2020-21,Group Stage,Chelsea,51,Left Foot,Home,1
Thomas Muller,Germany,Bayern Munich,2019-20,Semi-Final,Barcelona,62,Left Foot,Away,1
Alessandro Del Piero,Italy,Juventus,2015-16,Round Of 16,Bayern Munich,40,Header,Away,1
Jude Bellingham,England,Real Madrid,2016-17,Group Stage,Bayern Munich,21,Penalty,Home,1
Gareth Bale,Wales,Real Madrid,2023-24,Round Of 16,Benfica,43,Header,Home,2
Thomas Muller,Germany,Bayern Munich,2016-17,Semi-Final,Borussia Dortmund,2,Header,Away,1
Sadio Mane,Senegal,Liverpool,2019-20,Final,Napoli,12,Left Foot,Away,3
Joshua Kimmich,Germany,Bayern Munich,2019-20,Group Stage,Atletico Madrid,56,Header,Home,1
Lionel Messi,Argentina,Barcelona,2017-18,Final,Napoli,17,Penalty,Home,2
Andriy Shevchenko,Ukraine,Ac Milan,2017-18,Group Stage,Sevilla,92,Penalty,Away,2
Zlatan Ibrahimovic,Sweden,Ac Milan,2012-13,Group Stage,Manchester United,76,Penalty,Home,1
Didier Drogba,Ivory Coast,Chelsea,2019-20,Group Stage,Ajax,51,Header,Away,1
