Player,Nationality,Club,Season,Round,Opponent,Minute,Goal_Type,Venue,Goals_In_Match
Bernardo Silva,Portugal,Manchester City,2017-18,Group stage,AC Milan,46,Penalty,Home ,1
Bernardo Silva,Portugal,Manchester City,2021-22,Round of 16,Bayern Munich,17,Right Foot,AWAY,2
Memphis Depay,Netherlands,Barcelona,2018-19,R16,Manchester United,49,Penalty, Away,1
Mohamed Salah,Egypt,Liverpool,2022-23,Group Stage,Sevilla,16,PENALTY,Away,2
Filippo Inzaghi,Italy,AC Milan,2013-14,Final,Borussia Dortmund,17,header,home,1
Neymar Jr,Brazil,Barcelona,2012-13,Semi-final,Borussia Dortmund,54,Free Kick,Home ,1
Raul Gonzalez,Spain,Real Madrid,2015-16,Group stage,Arsenal,17,PENALTY,Home ,1
Vinicius Junior,Brazil,Real Madrid,2022-23,Final,Ajax,76,Right Foot,home,1
Andriy Shevchenko,Ukraine,Chelsea,2010-11,R16,,14,Right Foot,Home,3
Alessandro Del Piero,Italy,Juventus,2018-19,Group Stage,Sevilla,25,Left Foot,home,2
Andriy Shevchenko,Ukraine,Chelsea,2010-11,Final,,21,Header,AWAY,2
Raul Gonzalez,Spain,Real Madrid,2014-15,Round of 16,Juventus,28,Left Foot,Home ,1
Ousmane Dembele,,Barcelona,2017-18,Round of 16,Atletico Madrid,45,Left Foot, Away,3
Jude Bellingham,England,Real Madrid,2015-16,GROUP STAGE,,84,Left Foot,home,3
  ALFREDO DI STEFANO  ,Argentina,Real Madrid,2014-15,Round of 16,Ajax,94,Left Foot,Home,2
Edinson Cavani,Uruguay,Paris Saint-Germain,2013-14,Group stage,Juventus,19,Left Foot, Away,1
Robert Lewandowski,Poland,Borussia Dortmund,2012-13,Final,,75,PENALTY,Home ,3
Sergio Aguero,Argentina,Manchester City,2015-16,Group stage,Porto,89,header,Home,1
Thomas Muller,,Bayern Munich,2021-22,Final,Barcelona,14',Right Foot,Home,2
Alfredo Di Stefano,Argentina,Real Madrid,2021-22,R16,Borussia Dortmund,36,Right Foot,Away,2
Lionel Messi,Argentina,Paris Saint-Germain,2023-24,Quarter-final,Manchester United,22,Free Kick, Away,1
Riyad Mahrez,Algeria,Manchester City,2012-13,Group stage,,67,header,Home,1
Bernardo Silva,Portugal,Manchester City,2010-11,R16,Chelsea,9,right foot,home,1
Wayne Rooney,England,Manchester United,2010-11,Group Stage,Bayern Munich,2,Right Foot, Away,3
Jude Bellingham,England,Real Madrid,2018-19,Group Stage,AC Milan,14,PENALTY,Away,2
Gareth Bale,Wales,Real Madrid,2017-18,Semi-final,Manchester City,94,PENALTY,home,1
Bukayo Saka,England,Arsenal,2017-18,Group Stage,Tottenham Hotspur,12,PENALTY,Home ,1
Thomas Muller,Germany,Bayern Munich,2011-12,GROUP STAGE,Bayern Munich,91,Header,AWAY,1
Julian Alvarez,Argentina,Manchester City,2011-12,R16,,39,Header,Away,1
  JOSHUA KIMMICH  ,Germany,Bayern Munich,2013-14,GROUP STAGE,Paris Saint-Germain,25,Left Foot,Home,2
cristiano ronaldo,Portugal,Manchester United,2022-23,Round of 16,Chelsea,78,Penalty,Home ,1
Robert Lewandowski,,Bayern Munich,2016-17,Semi-final,Real Madrid,56,Right Foot,home,1
Jude Bellingham,England,Real Madrid,2013-14,R16,Juventus,45,Free Kick,Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2016-17,Group Stage,Real Madrid,71,Penalty,Away,1
Zlatan Ibrahimovic,Sweden,AC Milan,2011-12,Group Stage,Napoli,80,Left Foot,Away,1
Gareth Bale,Wales,Real Madrid,2012-13,Final,Napoli,18,Penalty, Away,2
Karim Benzema,France,Real Madrid,2023-24,Final,Porto,23,header,Home,1
Kevin De Bruyne,Belgium,Manchester City  ,2017-18,Round of 16,,8,right foot,Home ,2
Joshua Kimmich,Germany,Bayern Munich,2018-19,Quarter-final,Atletico Madrid,34,right foot,home,2
Robert Lewandowski,Poland,Barcelona,2016-17,R16,Sevilla,32,Free Kick,Home ,1
Paulo Dybala,Argentina,Juventus,2015-16,Group Stage,Napoli,16,Right Foot,home,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2023-24,Group stage,Manchester United,11,Left Foot,Home ,2
Neymar Jr,Brazil,Barcelona,2011-12,GROUP STAGE,Real Madrid,,PENALTY,Home,1
Mohamed Salah,Egypt,Liverpool,2019-20,Final,,37,Left Foot,Home,1
Gareth Bale,Wales,Real Madrid,2023-24,Quarter-final,Barcelona,42,Penalty,Home,1
Paulo Dybala,Argentina,Juventus,2019-20,R16,Manchester United,89,header,Away,1
Thomas Muller,Germany,Bayern Munich,2014-15,Quarter-final,Manchester City,24,Free Kick,Home,1
Sergio Aguero,Argentina,Manchester City,2016-17,Group Stage,Atletico Madrid,56,Right Foot,home,1
Luis Suarez,Uruguay,Atletico Madrid,2011-12,Round of 16,Tottenham Hotspur,31,Header,AWAY,1
Kylian Mbappe,France,Real Madrid,2019-20,Round of 16,Bayern Munich,4,Penalty,Home,1
Filippo Inzaghi,Italy,AC Milan  ,2021-22,Final,Real Madrid,88,Left Foot,Home ,1
Neymar Jr,Brazil,Barcelona,2012-13,R16,,93,Header,Away,1
Kevin De Bruyne,Belgium,Manchester City,2021-22,Final,,52,Penalty,Away,3
Alfredo Di Stefano,Argentina,Real Madrid,2011-12,Semi-final,Paris Saint-Germain,76',Penalty,Away,3
Neymar Jr,Brazil,Paris Saint-Germain,2014-15,Group Stage,Inter Milan,13,PENALTY,home,1
Gareth Bale,Wales,Real Madrid,2016-17,Group stage,,,Header,Home ,2
Edinson Cavani,Uruguay,Paris Saint-Germain,2019-20,R16,Sevilla,96,Penalty,Home,2
Wayne Rooney,England,Manchester United,2022-23,Group Stage,,90,Header, Away,3
ousmane dembele,France,Barcelona,2016-17,Group Stage,Tottenham Hotspur,59,Free Kick,Home ,1
Alessandro Del Piero,Italy,Juventus,2017-18,Group Stage,Bayern Munich,65,header, Away,2
Thomas Muller,Germany,Bayern Munich,2014-15,GROUP STAGE,Porto,22,right foot, Away,3
  WAYNE ROONEY  ,England,Manchester United,2023-24,Group Stage,Napoli,89,Free Kick, Away,1
Vinicius Junior,Brazil,Real Madrid,2013-14,GROUP STAGE,Paris Saint-Germain,77,Right Foot,home,2
Alfredo Di Stefano,Argentina,Real Madrid,2013-14,Group Stage,Benfica,36,Right Foot,Away,1
Paulo Dybala,Argentina,Juventus,2023-24,Semi-final,Paris Saint-Germain,63,header,Home,2
Alfredo Di Stefano,Argentina,Real Madrid,2020-21,Quarter-final,Arsenal,38,Right Foot,AWAY,2
Victor Osimhen,Nigeria,Napoli,2014-15,Group Stage,Napoli,27,Penalty,home,1
Kylian Mbappe,France,Paris Saint-Germain,2023-24,Semi-final,Bayern Munich,49,Right Foot,Home,1
Toni Kroos,Germany,Real Madrid,2022-23,Final,,67,PENALTY,Home ,1
Vinicius Junior,Brazil,Real Madrid  ,2010-11,Group Stage,Arsenal,12,Penalty,Away,1
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2020-21,Final,Atletico Madrid,79,Penalty,AWAY,3
  SERGIO AGUERO  ,Argentina,Manchester City,2020-21,GROUP STAGE,,,Right Foot,home,1
Robert Lewandowski,Poland,Borussia Dortmund,2023-24,Quarter-final,Bayern Munich,62,Penalty,Home,2
Memphis Depay,Netherlands,Barcelona,2016-17,R16,Manchester United,73,right foot,home,1
Harry Kane,England,Tottenham Hotspur,2021-22,Final,Tottenham Hotspur,13,Free Kick, Away,3
Andriy Shevchenko,Ukraine,AC Milan,2021-22,Final,Liverpool,85,Header,home,2
Memphis Depay,Netherlands,Barcelona,2022-23,Semi-final,AC Milan,92,Left Foot,Home,1
Sadio Mane,Senegal,Bayern Munich,2015-16,GROUP STAGE,Borussia Dortmund,53,right foot,Away,2
Luka Modric,Croatia,Real Madrid,2015-16,Round of 16,AC Milan,82,Penalty,AWAY,3
toni kroos,Germany,Real Madrid,2023-24,Final,Benfica,50,Right Foot,Home,1
Victor Osimhen,Nigeria,Napoli,2014-15,Semi-final,Atletico Madrid,59,Right Foot,AWAY,1
Erling Haaland,Norway,Manchester City,2013-14,GROUP STAGE,Manchester City,61,PENALTY, Away,1
Zlatan Ibrahimovic,Sweden,Inter Milan,2023-24,GROUP STAGE,Arsenal,20,Penalty, Away,1
Ruud van Nistelrooy,Netherlands,Manchester United,2011-12,Group stage,Atletico Madrid,48,Free Kick,Away,3
Gareth Bale,Wales,Real Madrid,2021-22,GROUP STAGE,AC Milan,9,PENALTY,Away,1
Zlatan Ibrahimovic,Sweden,AC Milan,2014-15,R16,Paris Saint-Germain,81,Left Foot, Away,1
Julian Alvarez,Argentina,Manchester City,2011-12,Final,Barcelona,84,right foot,Home,1
Victor Osimhen,Nigeria,Napoli,2023-24,R16,AC Milan,21,header,AWAY,3
  PAULO DYBALA  ,Argentina,Juventus,2018-19,Semi-final,Manchester United,9,header,Home ,2
Neymar Jr,Brazil,Barcelona,2014-15,Round of 16,AC Milan,36,Free Kick,AWAY,2
Didier Drogba,Ivory Coast,Chelsea,2015-16,R16,Manchester City,91,Header,Home,1
Fernando Torres,Spain,Liverpool,2021-22,Final,Napoli,95,Free Kick,Home ,2
Alessandro Del Piero,Italy,Juventus,2010-11,Quarter-final,Napoli,8,Penalty,Home ,3
  LIONEL MESSI  ,Argentina,Paris Saint-Germain,2019-20,Semi-final,Barcelona,22,header, Away,1
Zlatan Ibrahimovic,Sweden,AC Milan,2010-11,Round of 16,,25,Free Kick,Home ,2
Sadio Mane,Senegal,Bayern Munich,2019-20,Group Stage,,38,Header,Away,1
Erling Haaland,Norway,Borussia Dortmund,2017-18,Quarter-final,Borussia Dortmund,85,PENALTY,AWAY,1
Vinicius Junior,Brazil,Real Madrid,2018-19,Group Stage,Paris Saint-Germain,74,header,home,1
Harry Kane,England,Bayern Munich,2023-24,R16,Inter Milan,80,Header, Away,2
Lionel Messi,Argentina,Paris Saint-Germain,2015-16,Quarter-final,Inter Milan,7,Penalty, Away,1
Luis Suarez,Uruguay,Barcelona,2013-14,R16,Porto,47,Right Foot,home,2
Cristiano Ronaldo,Portugal,Real Madrid,2020-21,Group stage,Napoli,59,right foot,Home ,3
Gareth Bale,Wales,Real Madrid,2022-23,Group Stage,,39,PENALTY,home,1
Zlatan Ibrahimovic,,Paris Saint-Germain,2016-17,R16,Napoli,39,header, Away,1
Zlatan Ibrahimovic,Sweden,AC Milan,2011-12,GROUP STAGE,Benfica,37,PENALTY, Away,1
Robert Lewandowski,Poland,Bayern Munich,2022-23,R16,Manchester City,5,right foot, Away,1
Erling Haaland,Norway,Borussia Dortmund,2012-13,Group stage,Manchester City,11,header,home,1
Sadio Mane,Senegal,Liverpool,2010-11,Semi-final,AC Milan,42,PENALTY,Away,3
  SERGIO AGUERO  ,Argentina,Manchester City,2010-11,Group Stage,,26,PENALTY, Away,2
Paulo Dybala,Argentina,Juventus,2014-15,Quarter-final,Juventus,51,Right Foot,Away,1
Kevin De Bruyne,Belgium,Manchester City,2020-21,GROUP STAGE,Tottenham Hotspur,91,header,Away,1
Raul Gonzalez,Spain,Real Madrid,2017-18,R16,Benfica,54,header,Away,3
Filippo Inzaghi,Italy,AC Milan,2016-17,R16,Napoli,69,header,Home ,3
Toni Kroos,Germany,Real Madrid,2020-21,GROUP STAGE,Paris Saint-Germain,37,Header,Home,2
Sergio Aguero,Argentina,Manchester City,2015-16,Group Stage,Sevilla,47',Free Kick,Away,1
Jude Bellingham,England,Real Madrid,2015-16,Quarter-final,,9,header,AWAY,1
Erling Haaland,Norway,Borussia Dortmund,2023-24,R16,Atletico Madrid,25,Right Foot,AWAY,1
Edinson Cavani,,Paris Saint-Germain,2013-14,GROUP STAGE,,41,Penalty,AWAY,1
Raul Gonzalez,Spain,Real Madrid,2018-19,Group Stage,Real Madrid,26,Right Foot, Away,1
Neymar Jr,Brazil,Barcelona,2019-20,Final,Atletico Madrid,41',Left Foot, Away,1
Lionel Messi,Argentina,Paris Saint-Germain,2016-17,GROUP STAGE,,39,header, Away,2
Bernardo Silva,Portugal,Manchester City,2019-20,Round of 16,Real Madrid,35,right foot,Home ,3
Wayne Rooney,England,Manchester United,2023-24,Quarter-final,AC Milan,42,Left Foot, Away,3
  RUUD VAN NISTELROOY  ,Netherlands,Manchester United,2020-21,GROUP STAGE,Arsenal,85,Left Foot,home,1
Luis Suarez,Uruguay,Barcelona,2015-16,Quarter-final,Tottenham Hotspur,3,right foot,Home,2
Alfredo Di Stefano,Argentina,Real Madrid,2020-21,Group stage,,35,Header,Home,2
Mohamed Salah,Egypt,Liverpool,2016-17,Group Stage,Real Madrid,7,Header,Away,1
Riyad Mahrez,Algeria,Manchester City,2023-24,Quarter-final,Borussia Dortmund,76,right foot,AWAY,3
Andriy Shevchenko,Ukraine,Chelsea,2019-20,R16,Liverpool,1,Header,Home ,1
Ruud van Nistelrooy,Netherlands,Real Madrid,2017-18,Group Stage,Barcelona,34',Penalty,Away,1
Kylian Mbappe,France,Real Madrid,2019-20,Final,Porto,93,Right Foot,Home ,1
Cristiano Ronaldo,Portugal,Real Madrid,2017-18,GROUP STAGE,Real Madrid,94,Header,Home,1
Neymar Jr,Brazil,Paris Saint-Germain,2019-20,Semi-final,Bayern Munich,43,Penalty,home,1
Neymar Jr,Brazil,Barcelona,2019-20,GROUP STAGE,Real Madrid,65,Right Foot,Home,1
Memphis Depay,Netherlands,Barcelona,2022-23,Semi-final,AC Milan,92,Left Foot,Home,1
Joshua Kimmich,Germany,Bayern Munich,2017-18,Group stage,,79,right foot,Home,1
Gareth Bale,Wales,Real Madrid,2017-18,Round of 16,Manchester United,41,Free Kick,home,3
Robert Lewandowski,Poland,Bayern Munich,2017-18,Semi-final,Inter Milan,74,PENALTY,Away,2
Ousmane Dembele,France,Barcelona,2015-16,Quarter-final,,13,Header, Away,3
Wayne Rooney,England,Manchester United,2015-16,Semi-final,Liverpool,86',Left Foot,home,1
Lionel Messi,Argentina,Barcelona,2020-21,Round of 16,Inter Milan,,Right Foot,AWAY,2
Karim Benzema,France,Real Madrid,2020-21,Semi-final,Inter Milan,11,header,Home,1
Bukayo Saka,England,Arsenal,2019-20,Quarter-final,Tottenham Hotspur,70,right foot,home,1
Victor Osimhen,Nigeria,Napoli,2021-22,R16,Bayern Munich,48,Free Kick, Away,1
Gareth Bale,Wales,Real Madrid,2019-20,R16,Chelsea,82,Header,AWAY,1
Riyad Mahrez,Algeria,Manchester City,2012-13,Quarter-final,Bayern Munich,16',Right Foot,Home,1
Luis Suarez,Uruguay,Atletico Madrid,2012-13,R16,Napoli,15,header, Away,1
Luis Suarez,Uruguay,Atletico Madrid,2018-19,Round of 16,AC Milan,94,Right Foot,home,2
Paulo Dybala,Argentina,Juventus,2017-18,GROUP STAGE,Napoli,66,Free Kick,Home,3
Alfredo Di Stefano,Argentina,Real Madrid,2021-22,Quarter-final,Sevilla,56,Header, Away,1
Memphis Depay,Netherlands,Barcelona,2017-18,Group stage,Manchester City,93,Penalty, Away,1
Memphis Depay,Netherlands,Barcelona,2017-18,R16,Ajax,52,Right Foot,Home ,1
Ruud van Nistelrooy,Netherlands,Manchester United,2015-16,Round of 16,Inter Milan,11,header, Away,1
Antoine Griezmann,France,Atletico Madrid,2015-16,Quarter-final,,52',Penalty,Away,1
Zlatan Ibrahimovic,Sweden,Barcelona,2013-14,Final,Sevilla,12,Free Kick,Home ,1
Alessandro Del Piero,Italy,Juventus,2013-14,Group stage,Inter Milan,73,right foot, Away,1
  HARRY KANE  ,England,Bayern Munich,2011-12,R16,Real Madrid,95,Penalty,Away,1
Kylian Mbappe,France,Real Madrid,2018-19,R16,Napoli,75',PENALTY, Away,1
Robert Lewandowski,Poland,Bayern Munich,2015-16,Group stage,Liverpool,64,Free Kick,AWAY,3
Ruud van Nistelrooy,Netherlands,Real Madrid,2018-19,Group stage,,11,header,home,1
Cristiano Ronaldo,Portugal,Manchester United,2020-21,Group stage,AC Milan,28,Free Kick,AWAY,2
Wayne Rooney,England,Manchester United,2021-22,Quarter-final,Inter Milan,92,Free Kick,Home,1
Zlatan Ibrahimovic,Sweden,Inter Milan,2020-21,Semi-final,Arsenal,47,Right Foot,Home,1
Neymar Jr,Brazil,Paris Saint-Germain,2014-15,R16,Napoli,22,Header, Away,1
Alessandro Del Piero,Italy,Juventus  ,2017-18,Quarter-final,Napoli,4,Penalty,Home ,1
Antoine Griezmann,France,Atletico Madrid,2015-16,Final,,28,header,Home ,1
Erling Haaland,Norway,Borussia Dortmund,2021-22,Quarter-final,Ajax,19,Header, Away,1
Robert Lewandowski,Poland,Bayern Munich,2018-19,Group stage,Real Madrid,1,Header,Away,1
Riyad Mahrez,Algeria,Manchester City,2018-19,Semi-final,Benfica,81,Left Foot,Home ,1
Cristiano Ronaldo,Portugal,Manchester United,2017-18,R16,Liverpool,64,Penalty, Away,1
Riyad Mahrez,Algeria,Manchester City,2014-15,Round of 16,Porto,76,Header,AWAY,2
Didier Drogba,Ivory Coast,Chelsea,2014-15,R16,Inter Milan,50,Free Kick,Home ,2
Harry Kane,England,Tottenham Hotspur,2010-11,GROUP STAGE,Bayern Munich,66,Free Kick,Away,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2013-14,Quarter-final,AC Milan,27,PENALTY,home,1
Ruud van Nistelrooy,Netherlands,Manchester United,2012-13,Quarter-final,Napoli,44,Header,Home ,1
Jude Bellingham,England,Real Madrid,2021-22,Quarter-final,Atletico Madrid,,Right Foot,Home ,3
Raul Gonzalez,Spain,Real Madrid,2010-11,Quarter-final,Tottenham Hotspur,48,header,Home ,1
Ousmane Dembele,France,Paris Saint-Germain,2017-18,Quarter-final,Ajax,45,Header,Home ,1
Thomas Muller,Germany,Bayern Munich,2021-22,Final,Bayern Munich,57,Right Foot,Home ,1
Fernando Torres,Spain,Chelsea,2017-18,R16,Porto,87,Penalty,Home ,3
Luka Modric,Croatia,Real Madrid,2020-21,Group stage,Manchester United,80,right foot, Away,2
Alessandro Del Piero,Italy,Juventus,2016-17,R16,Napoli,61,Penalty,AWAY,1
Kylian Mbappe,France,Paris Saint-Germain,2021-22,GROUP STAGE,Ajax,6,Right Foot, Away,1
Luis Suarez,Uruguay,Atletico Madrid,2011-12,Quarter-final,Juventus,72,Penalty,Away,1
Zlatan Ibrahimovic,Sweden,Barcelona,2018-19,Quarter-final,Ajax,63,header,Away,3
Didier Drogba,Ivory Coast,Chelsea,2012-13,Round of 16,AC Milan,65,Penalty, Away,2
Raul Gonzalez,Spain,Real Madrid,2014-15,GROUP STAGE,Atletico Madrid,,header, Away,1
Lionel Messi,Argentina,Barcelona,2017-18,GROUP STAGE,Inter Milan,40,PENALTY,home,2
Andriy Shevchenko,Ukraine,AC Milan,2010-11,Quarter-final,Napoli,96,PENALTY,Home ,1
Erling Haaland,Norway,Manchester City,2011-12,Semi-final,Liverpool,5,header,Away,1
Luka Modric,Croatia,Real Madrid,2011-12,Group Stage,Inter Milan,79,PENALTY,Away,1
Robert Lewandowski,Poland,Bayern Munich,2016-17,Final,Tottenham Hotspur,94,header,Home,1
  ZLATAN IBRAHIMOVIC  ,Sweden,Barcelona,2011-12,Group Stage,Tottenham Hotspur,93,right foot,AWAY,1
Riyad Mahrez,Algeria,Manchester City,2021-22,R16,Paris Saint-Germain,49,header,Away,3
Luis Suarez,Uruguay,Barcelona,2014-15,R16,Porto,59,Free Kick,home,1
Kylian Mbappe,France,Real Madrid,2018-19,Quarter-final,,54,Header,Away,1
Zlatan Ibrahimovic,Sweden,AC Milan,2021-22,Semi-final,Juventus,61,right foot,AWAY,2
Kevin De Bruyne,Belgium,Manchester City,2013-14,Final,Manchester United,33,Right Foot,Away,2
Wayne Rooney,England,Manchester United,2023-24,Round of 16,Tottenham Hotspur,30,Header,home,3
Alessandro Del Piero,Italy,Juventus,2023-24,Group stage,Napoli,40,header,AWAY,1
Bernardo Silva,Portugal,Manchester City  ,2022-23,Group Stage,Porto,55,Header,AWAY,2
Luis Suarez,Uruguay,Barcelona,2022-23,GROUP STAGE,Porto,69,header, Away,1
Bukayo Saka,England,Arsenal,2015-16,Group stage,Manchester United,46',header,home,1
  ROBERT LEWANDOWSKI  ,Poland,Barcelona,2022-23,Semi-final,,62,Left Foot,home,1
Toni Kroos,Germany,Real Madrid,2017-18,Round of 16,Manchester City,75,Left Foot,Home ,2
Memphis Depay,Netherlands,Barcelona,2017-18,GROUP STAGE,Benfica,60,PENALTY,Home ,1
Gareth Bale,Wales,Real Madrid,2013-14,Quarter-final,Atletico Madrid,87,Left Foot,Away,2
Alfredo Di Stefano,Argentina,Real Madrid,2010-11,R16,Benfica,42,PENALTY,Home ,2
Alfredo Di Stefano,Argentina,Real Madrid,2017-18,Quarter-final,Chelsea,71,PENALTY,Away,3
Toni Kroos,Germany,Real Madrid,2017-18,Semi-final,Bayern Munich,35,PENALTY,AWAY,1
Jude Bellingham,England,Real Madrid,2014-15,Group stage,Chelsea,68,Left Foot,Home ,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2016-17,Group Stage,Bayern Munich,83,header,AWAY,1
Toni Kroos,Germany,Real Madrid,2013-14,Group stage,Benfica,49,Header,Home ,3
Erling Haaland,Norway,Borussia Dortmund,2015-16,Group stage,Inter Milan,52,Free Kick,Away,1
Luis Suarez,Uruguay,Atletico Madrid,2019-20,R16,Porto,82,Penalty,home,1
Neymar Jr,Brazil,Barcelona,2012-13,Group stage,Juventus,78,Left Foot, Away,1
  CRISTIANO RONALDO  ,Portugal,Real Madrid,2015-16,Group Stage,Real Madrid,27,Penalty,Home,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2021-22,Quarter-final,Arsenal,40,Right Foot,Home ,1
  ANTOINE GRIEZMANN  ,France,Atletico Madrid,2012-13,Semi-final,Napoli,8,Free Kick, Away,1
Neymar Jr,Brazil,Paris Saint-Germain,2018-19,Quarter-final,Atletico Madrid,74,Header,Away,1
Zlatan Ibrahimovic,Sweden,AC Milan,2016-17,GROUP STAGE,Paris Saint-Germain,10,Left Foot,Away,1
Lionel Messi,Argentina,Paris Saint-Germain,2021-22,Final,Real Madrid,62,Penalty,AWAY,3
Joshua Kimmich,Germany,Bayern Munich,2022-23,Final,Porto,94,PENALTY,home,2
Toni Kroos,Germany,Real Madrid,2020-21,Round of 16,Barcelona,2,header,Home ,2
Antoine Griezmann,France,Atletico Madrid,2021-22,R16,Liverpool,83,Free Kick, Away,1
Bernardo Silva,Portugal,Manchester City,2020-21,R16,Bayern Munich,68,Right Foot,Away,1
Didier Drogba,Ivory Coast,Chelsea,2010-11,Group Stage,Porto,69,Right Foot,Home,2
Memphis Depay,Netherlands,Barcelona,2010-11,Quarter-final,Liverpool,65,header,AWAY,1
  TONI KROOS  ,Germany,Real Madrid,2019-20,Group Stage,Inter Milan,72',header, Away,2
Luis Suarez,,Barcelona,2012-13,Final,Inter Milan,23,Left Foot,Home,1
Paulo Dybala,Argentina,Juventus,2014-15,Group stage,Napoli,86,Right Foot,Away,1
Jude Bellingham,England,Real Madrid,2021-22,Semi-final,Paris Saint-Germain,51,Penalty,Home ,3
Bukayo Saka,England,Arsenal,2013-14,Round of 16,,12,right foot,Away,1
Bukayo Saka,England,Arsenal,2018-19,Quarter-final,Liverpool,1,header,AWAY,1
Paulo Dybala,Argentina,Juventus,2023-24,Final,Juventus,32,Left Foot,AWAY,1
Riyad Mahrez,Algeria,Manchester City,2015-16,GROUP STAGE,Sevilla,59,Right Foot,Home ,2
Wayne Rooney,England,Manchester United,2014-15,R16,Inter Milan,39,right foot,Away,1
Mohamed Salah,Egypt,Liverpool,2017-18,Group Stage,Sevilla,48,Penalty,home,1
Neymar Jr,Brazil,Barcelona,2011-12,Group Stage,,95,Header,AWAY,1
Andriy Shevchenko,Ukraine,AC Milan,2010-11,R16,Barcelona,94,Left Foot,home,1
Ousmane Dembele,France,Paris Saint-Germain,2016-17,Final,Tottenham Hotspur,58,Left Foot,AWAY,2
Toni Kroos,Germany,Real Madrid,2020-21,R16,Sevilla,1,Left Foot,AWAY,1
Bukayo Saka,England,Arsenal,2022-23,Final,Tottenham Hotspur,44,Free Kick, Away,1
Cristiano Ronaldo,Portugal,Real Madrid,2016-17,Final,Liverpool,4,right foot,Home,1
Sadio Mane,Senegal,Bayern Munich,2014-15,Group Stage,,74,right foot,AWAY,2
Raul Gonzalez,Spain,Real Madrid,2021-22,R16,Benfica,53,right foot,Home,1
Memphis Depay,Netherlands,Barcelona,2022-23,GROUP STAGE,Sevilla,58,header,home,1
Raul Gonzalez,Spain,Real Madrid,2023-24,Round of 16,Paris Saint-Germain,65,Right Foot, Away,3
Sergio Aguero,Argentina,Manchester City,2015-16,Group Stage,Inter Milan,63,Left Foot,Away,1
Sadio Mane,Senegal,Liverpool,2022-23,R16,Atletico Madrid,21,Penalty, Away,1
Jude Bellingham,England,Real Madrid,2016-17,Quarter-final,Liverpool,55,Free Kick,Home,3
Alfredo Di Stefano,Argentina,Real Madrid,2019-20,Group Stage,Inter Milan,29,Free Kick,Home ,2
Fernando Torres,Spain,Chelsea,2022-23,Group Stage,Porto,36,Left Foot,AWAY,2
Luka Modric,Croatia,Real Madrid,2012-13,Final,Chelsea,75,PENALTY,AWAY,1
Victor Osimhen,Nigeria,Napoli,2019-20,GROUP STAGE,Bayern Munich,38,right foot,AWAY,1
Mohamed Salah,Egypt,Liverpool,2012-13,R16,Liverpool,47,right foot,AWAY,2
Wayne Rooney,England,Manchester United,2014-15,Quarter-final,Chelsea,41,Penalty,AWAY,1
Bukayo Saka,England,Arsenal,2012-13,R16,Liverpool,76,right foot,home,3
Karim Benzema,France,Real Madrid,2019-20,GROUP STAGE,Bayern Munich,93,PENALTY,AWAY,1
  ZLATAN IBRAHIMOVIC  ,Sweden,AC Milan,2015-16,GROUP STAGE,Real Madrid,28,Penalty,Home,3
mohamed salah,Egypt,Liverpool,2015-16,Semi-final,Manchester United,42,Free Kick,AWAY,2
Vinicius Junior,Brazil,Real Madrid,2021-22,Group Stage,Manchester United,26,header, Away,2
Riyad Mahrez,Algeria,Manchester City,2016-17,Group Stage,Ajax,6,header, Away,1
Antoine Griezmann,France,Atletico Madrid,2018-19,Final,Napoli,83,Free Kick,home,1
Ousmane Dembele,France,Barcelona,2022-23,Group Stage,Juventus,53,Penalty,Away,1
Raul Gonzalez,Spain,Real Madrid,2011-12,Semi-final,Porto,39,Free Kick, Away,1
Mohamed Salah,Egypt,Liverpool,2018-19,Final,Sevilla,18,Left Foot,Home ,1
Ousmane Dembele,France,Paris Saint-Germain,2010-11,Semi-final,Tottenham Hotspur,16,header,Away,2
Sadio Mane,Senegal,Bayern Munich,2022-23,Semi-final,Borussia Dortmund,47,Free Kick,home,1
Julian Alvarez,Argentina,Manchester City,2016-17,R16,Chelsea,20,Penalty,home,1
Victor Osimhen,Nigeria,Napoli  ,2020-21,Round of 16,Atletico Madrid,81,PENALTY,Away,1
karim benzema,France,Real Madrid,2022-23,Semi-final,Paris Saint-Germain,78,PENALTY,Home ,1
Didier Drogba,Ivory Coast,Chelsea,2022-23,GROUP STAGE,Tottenham Hotspur,90,right foot,home,1
Kylian Mbappe,France,Paris Saint-Germain,2015-16,Quarter-final,Liverpool,57,Free Kick,home,1
ousmane dembele,France,Barcelona,2021-22,Group Stage,Atletico Madrid,78,Left Foot,AWAY,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2015-16,Group stage,Inter Milan,31,Penalty,home,1
Bernardo Silva,Portugal,Manchester City,2021-22,Quarter-final,Bayern Munich,82,header,Home,2
Bukayo Saka,England,Arsenal,2015-16,Group Stage,,74,Free Kick, Away,3
Thomas Muller,Germany,Bayern Munich,2013-14,Quarter-final,Liverpool,35,right foot,AWAY,3
